,モニターID.11桁.,居住都道府県.参考.,居住エリア,年齢.5才刻み.,年齢.10才刻み.,世代,性別,性年代,メディアターゲット区分,未既婚,職業,職業.詳細.,職種,仕事環境,個人年収,X1ヶ月平均小遣い,最終学歴,家族人数,家族構成,世帯年収,家屋形態,生協加入有無,配偶者の同居有無,同居配偶者年齢.5才刻み.,同居配偶者年齢.10才刻み.,同居配偶者職業,末子年齢,家族人員.17才以下男子.,家族人員.17才以下女子.,家族人員.0.2才.乳児..,家族人員.3.5才.就学前児童..,家族人員.6.11才.小学生..,家族人員.12.14才.中学生..,家族人員.15.17才.高校生..,家族人員.65才以上.,自動車.自家用車保有.有無,同居子供人数.17才以下.,同居子供人数.14才以下.
24288,50001395201,14,4,3,2,7,1,2,5,2,1,4,3,1,5,7,6,1,1,2,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24289,50001400055,13,4,10,6,3,1,6,7,1,3,5,9,4,3,4,6,4,3,4,1,1,1,8,4,6,1,2,2,2,2,2,2,2,2,1,1,1
24290,50001398854,13,4,6,4,5,1,4,6,2,1,3,1,1,6,4,6,1,1,3,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24291,50001396425,11,4,8,5,4,1,5,7,1,1,3,3,1,9,5,4,2,2,5,3,1,1,7,4,9,1,2,2,2,2,2,2,2,2,1,1,1
24292,50001395363,14,4,4,3,6,1,3,5,1,1,4,1,1,8,5,6,4,3,5,3,2,1,3,2,4,2,1,1,1,1,2,2,2,2,1,3,3
24293,50001394908,13,4,7,4,4,1,4,6,2,1,4,2,3,7,3,6,2,5,3,1,1,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24294,50001400135,14,4,4,3,6,1,3,5,2,1,4,9,5,3,8,1,4,3,4,1,1,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24295,50001395787,10,3,7,4,4,1,4,6,1,1,6,3,1,6,3,2,3,3,3,1,2,1,6,3,9,7,1,2,2,2,2,2,1,2,1,2,1
24296,50001395151,14,4,5,3,6,1,3,6,2,1,3,9,4,1,4,5,4,3,1,1,2,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24297,50001395183,14,4,5,3,6,2,9,3,1,6,11,12,7,10,1,4,4,3,2,1,1,1,5,3,3,3,1,2,2,1,1,2,2,2,1,3,3
24298,50001399839,13,4,6,4,5,2,10,3,1,6,11,12,7,10,3,5,4,3,4,3,1,1,5,3,3,2,1,1,1,1,2,2,2,2,1,3,3
24299,50001394851,12,4,4,3,6,2,9,2,1,2,2,6,1,2,2,6,3,3,3,3,1,1,3,2,3,3,1,2,2,1,2,2,2,2,1,2,2
24300,50001395457,12,4,6,4,5,1,4,6,1,1,4,9,5,5,3,2,4,3,4,1,2,1,6,3,4,6,1,1,2,2,2,1,2,2,1,3,3
24301,50001400240,11,4,5,3,6,1,3,6,1,2,2,3,4,8,3,6,4,3,4,1,1,1,3,2,11,2,1,1,1,2,2,2,2,2,1,3,3
24302,50001396538,14,4,5,3,6,1,3,6,1,1,6,1,1,7,3,2,5,3,4,1,1,1,4,2,9,6,1,2,2,2,2,1,1,2,1,4,2
24303,50001398644,8,3,7,4,4,1,4,6,1,1,3,1,1,5,3,2,5,4,2,1,1,1,6,3,4,7,2,1,2,2,2,2,1,1,1,2,1
24304,50001395222,14,4,9,5,3,1,5,7,1,2,2,5,2,9,10,6,1,1,5,1,2,2,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24305,50001395390,13,4,8,5,4,1,5,7,1,1,4,9,2,6,2,2,2,2,3,4,1,1,7,4,6,1,2,2,2,2,2,2,2,2,1,1,1
24306,50001395598,13,4,4,3,6,1,3,5,1,1,4,3,1,6,10,2,3,3,2,1,2,1,3,2,13,2,1,2,1,2,2,2,2,2,1,2,2
24307,50001394805,13,4,5,3,6,2,9,3,1,1,4,2,3,2,5,2,3,3,4,2,1,1,3,2,4,3,2,1,2,1,2,2,2,2,2,2,2
24308,50001398193,13,4,7,4,4,1,4,6,2,1,4,2,3,4,4,4,1,1,1,4,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24309,50001400369,13,4,4,3,6,1,3,5,2,1,4,3,1,8,9,7,1,1,4,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24310,50001398510,14,4,6,4,5,2,10,3,1,6,11,12,7,10,3,2,4,3,3,3,1,1,7,4,4,4,1,2,2,2,1,2,2,2,1,3,3
24311,50001396068,14,4,5,3,6,1,3,6,1,1,4,1,1,7,3,6,3,3,3,3,2,1,3,2,11,2,2,1,1,2,2,2,2,2,1,2,2
